cod;nome;período;valor
53;DF;1979;9
52;GO;1979;53
51;MT;1979;0
50;MS;1979;12
43;RS;1979;58
42;SC;1979;15
41;PR;1979;83
35;SP;1979;301
33;RJ;1979;174
32;ES;1979;25
31;MG;1979;153
29;BA;1979;38
28;SE;1979;10
27;AL;1979;25
26;PE;1979;94
25;PB;1979;28
24;RN;1979;12
23;CE;1979;35
22;PI;1979;5
11;RO;1979;3
21;MA;1979;13
17;TO;1979;0
16;AP;1979;1
15;PA;1979;27
14;RR;1979;3
13;AM;1979;13
12;AC;1979;2
35;SP;1980;348
11;RO;1980;12
12;AC;1980;2
13;AM;1980;21
14;RR;1980;2
15;PA;1980;28
16;AP;1980;0
17;TO;1980;0
21;MA;1980;10
22;PI;1980;7
23;CE;1980;31
24;RN;1980;7
25;PB;1980;33
26;PE;1980;120
27;AL;1980;30
28;SE;1980;12
29;BA;1980;42
31;MG;1980;132
32;ES;1980;36
33;RJ;1980;210
41;PR;1980;87
42;SC;1980;23
43;RS;1980;59
50;MS;1980;18
51;MT;1980;4
52;GO;1980;66
53;DF;1980;13
11;RO;1981;9
12;AC;1981;1
13;AM;1981;14
14;RR;1981;3
15;PA;1981;47
16;AP;1981;4
17;TO;1981;0
21;MA;1981;12
22;PI;1981;6
23;CE;1981;41
24;RN;1981;18
25;PB;1981;43
26;PE;1981;129
27;AL;1981;44
28;SE;1981;8
29;BA;1981;36
31;MG;1981;162
32;ES;1981;42
33;RJ;1981;169
35;SP;1981;392
41;PR;1981;93
42;SC;1981;24
43;RS;1981;62
50;MS;1981;27
51;MT;1981;7
52;GO;1981;74
53;DF;1981;20
11;RO;1982;17
12;AC;1982;5
13;AM;1982;20
14;RR;1982;2
15;PA;1982;36
16;AP;1982;2
17;TO;1982;0
21;MA;1982;8
22;PI;1982;14
23;CE;1982;38
24;RN;1982;18
25;PB;1982;38
26;PE;1982;124
27;AL;1982;35
28;SE;1982;14
29;BA;1982;80
31;MG;1982;156
32;ES;1982;32
33;RJ;1982;170
35;SP;1982;397
41;PR;1982;100
42;SC;1982;30
43;RS;1982;70
50;MS;1982;22
51;MT;1982;4
52;GO;1982;55
53;DF;1982;14
11;RO;1983;14
12;AC;1983;4
13;AM;1983;12
14;RR;1983;2
15;PA;1983;54
16;AP;1983;4
17;TO;1983;0
21;MA;1983;18
22;PI;1983;15
23;CE;1983;48
24;RN;1983;17
25;PB;1983;41
26;PE;1983;156
27;AL;1983;52
28;SE;1983;18
29;BA;1983;43
31;MG;1983;139
32;ES;1983;38
33;RJ;1983;162
35;SP;1983;529
41;PR;1983;108
42;SC;1983;46
43;RS;1983;55
50;MS;1983;28
51;MT;1983;9
52;GO;1983;65
53;DF;1983;23
11;RO;1984;11
12;AC;1984;4
13;AM;1984;21
14;RR;1984;2
15;PA;1984;40
16;AP;1984;4
17;TO;1984;0
21;MA;1984;15
22;PI;1984;9
23;CE;1984;40
24;RN;1984;7
25;PB;1984;34
26;PE;1984;133
27;AL;1984;44
28;SE;1984;7
29;BA;1984;55
31;MG;1984;175
32;ES;1984;45
33;RJ;1984;179
35;SP;1984;571
41;PR;1984;113
42;SC;1984;34
43;RS;1984;68
50;MS;1984;33
51;MT;1984;15
52;GO;1984;58
53;DF;1984;19
11;RO;1985;26
12;AC;1985;2
13;AM;1985;17
14;RR;1985;2
15;PA;1985;34
16;AP;1985;4
17;TO;1985;0
21;MA;1985;12
22;PI;1985;7
23;CE;1985;41
24;RN;1985;8
25;PB;1985;38
26;PE;1985;165
27;AL;1985;58
28;SE;1985;12
29;BA;1985;59
31;MG;1985;162
32;ES;1985;42
33;RJ;1985;194
35;SP;1985;543
41;PR;1985;103
42;SC;1985;35
43;RS;1985;73
50;MS;1985;17
51;MT;1985;24
52;GO;1985;67
53;DF;1985;21
11;RO;1986;26
53;DF;1986;31
52;GO;1986;64
51;MT;1986;35
50;MS;1986;29
43;RS;1986;69
42;SC;1986;15
41;PR;1986;93
35;SP;1986;542
33;RJ;1986;190
32;ES;1986;63
31;MG;1986;145
29;BA;1986;62
28;SE;1986;8
27;AL;1986;43
26;PE;1986;166
25;PB;1986;59
24;RN;1986;7
23;CE;1986;53
22;PI;1986;11
21;MA;1986;11
17;TO;1986;0
16;AP;1986;4
15;PA;1986;54
14;RR;1986;2
13;AM;1986;11
12;AC;1986;6
11;RO;1987;29
12;AC;1987;11
13;AM;1987;16
14;RR;1987;2
15;PA;1987;44
16;AP;1987;5
17;TO;1987;0
21;MA;1987;16
22;PI;1987;6
23;CE;1987;40
24;RN;1987;12
25;PB;1987;57
26;PE;1987;140
27;AL;1987;47
28;SE;1987;7
29;BA;1987;83
31;MG;1987;140
32;ES;1987;52
33;RJ;1987;229
35;SP;1987;589
41;PR;1987;116
42;SC;1987;40
43;RS;1987;81
50;MS;1987;29
51;MT;1987;30
52;GO;1987;82
53;DF;1987;33
11;RO;1988;41
12;AC;1988;6
13;AM;1988;23
14;RR;1988;7
15;PA;1988;47
16;AP;1988;0
17;TO;1988;0
21;MA;1988;23
22;PI;1988;20
23;CE;1988;34
24;RN;1988;15
25;PB;1988;48
26;PE;1988;161
27;AL;1988;61
28;SE;1988;5
29;BA;1988;86
31;MG;1988;148
32;ES;1988;75
33;RJ;1988;207
35;SP;1988;583
41;PR;1988;108
42;SC;1988;46
43;RS;1988;106
50;MS;1988;26
51;MT;1988;29
52;GO;1988;91
53;DF;1988;30
11;RO;1989;47
12;AC;1989;6
13;AM;1989;31
14;RR;1989;12
15;PA;1989;51
16;AP;1989;3
17;TO;1989;14
21;MA;1989;28
22;PI;1989;17
23;CE;1989;47
24;RN;1989;14
25;PB;1989;52
26;PE;1989;173
27;AL;1989;66
28;SE;1989;15
29;BA;1989;80
31;MG;1989;168
32;ES;1989;75
33;RJ;1989;304
35;SP;1989;671
41;PR;1989;105
42;SC;1989;39
43;RS;1989;142
50;MS;1989;39
51;MT;1989;31
52;GO;1989;91
53;DF;1989;23
11;RO;1990;37
12;AC;1990;6
13;AM;1990;31
14;RR;1990;20
15;PA;1990;78
16;AP;1990;5
17;TO;1990;7
21;MA;1990;32
22;PI;1990;5
23;CE;1990;45
24;RN;1990;20
25;PB;1990;41
26;PE;1990;219
27;AL;1990;55
28;SE;1990;13
29;BA;1990;77
31;MG;1990;148
32;ES;1990;88
33;RJ;1990;477
35;SP;1990;679
41;PR;1990;125
42;SC;1990;46
43;RS;1990;157
50;MS;1990;40
51;MT;1990;39
52;GO;1990;58
53;DF;1990;40
11;RO;1991;33
12;AC;1991;9
13;AM;1991;18
14;RR;1991;9
15;PA;1991;72
16;AP;1991;5
17;TO;1991;9
21;MA;1991;54
22;PI;1991;11
23;CE;1991;53
24;RN;1991;17
25;PB;1991;40
26;PE;1991;232
27;AL;1991;67
28;SE;1991;21
29;BA;1991;64
31;MG;1991;159
32;ES;1991;95
33;RJ;1991;370
35;SP;1991;789
41;PR;1991;149
42;SC;1991;38
43;RS;1991;156
50;MS;1991;47
51;MT;1991;49
52;GO;1991;110
53;DF;1991;52
11;RO;1992;35
12;AC;1992;13
13;AM;1992;26
14;RR;1992;9
15;PA;1992;56
16;AP;1992;4
17;TO;1992;5
21;MA;1992;30
22;PI;1992;10
23;CE;1992;42
24;RN;1992;15
25;PB;1992;36
26;PE;1992;171
27;AL;1992;53
28;SE;1992;28
29;BA;1992;79
31;MG;1992;154
32;ES;1992;85
33;RJ;1992;319
35;SP;1992;644
41;PR;1992;116
42;SC;1992;50
43;RS;1992;161
50;MS;1992;58
51;MT;1992;35
52;GO;1992;125
53;DF;1992;40
53;DF;1993;49
11;RO;1993;55
12;AC;1993;12
13;AM;1993;33
14;RR;1993;4
15;PA;1993;46
16;AP;1993;5
17;TO;1993;12
21;MA;1993;33
22;PI;1993;13
23;CE;1993;61
24;RN;1993;21
25;PB;1993;26
26;PE;1993;218
27;AL;1993;50
28;SE;1993;25
29;BA;1993;120
31;MG;1993;181
32;ES;1993;101
33;RJ;1993;381
35;SP;1993;726
41;PR;1993;138
42;SC;1993;34
43;RS;1993;113
50;MS;1993;39
51;MT;1993;31
52;GO;1993;96
16;AP;1994;16
15;PA;1994;59
14;RR;1994;6
13;AM;1994;27
12;AC;1994;11
11;RO;1994;37
42;SC;1994;45
33;RJ;1994;491
53;DF;1994;50
28;SE;1994;32
27;AL;1994;48
41;PR;1994;130
31;MG;1994;170
43;RS;1994;138
35;SP;1994;787
32;ES;1994;108
50;MS;1994;48
51;MT;1994;20
52;GO;1994;93
26;PE;1994;191
25;PB;1994;28
24;RN;1994;19
23;CE;1994;59
22;PI;1994;10
21;MA;1994;24
17;TO;1994;13
29;BA;1994;180
29;BA;1995;165
33;RJ;1995;587
32;ES;1995;123
31;MG;1995;145
24;RN;1995;30
25;PB;1995;66
26;PE;1995;205
27;AL;1995;62
28;SE;1995;27
35;SP;1995;959
11;RO;1995;37
12;AC;1995;16
13;AM;1995;42
14;RR;1995;8
15;PA;1995;59
16;AP;1995;11
17;TO;1995;5
21;MA;1995;40
22;PI;1995;19
53;DF;1995;57
23;CE;1995;55
52;GO;1995;129
51;MT;1995;66
50;MS;1995;51
43;RS;1995;151
42;SC;1995;48
41;PR;1995;163
50;MS;1996;79
14;RR;1996;18
13;AM;1996;33
12;AC;1996;15
52;GO;1996;119
51;MT;1996;87
42;SC;1996;67
32;ES;1996;123
28;SE;1996;30
27;AL;1996;70
23;CE;1996;84
31;MG;1996;185
16;AP;1996;16
25;PB;1996;106
26;PE;1996;245
22;PI;1996;14
21;MA;1996;31
11;RO;1996;43
41;PR;1996;154
17;TO;1996;21
24;RN;1996;35
33;RJ;1996;651
35;SP;1996;959
15;PA;1996;78
29;BA;1996;176
53;DF;1996;52
43;RS;1996;192
21;MA;1997;46
50;MS;1997;71
23;CE;1997;85
22;PI;1997;13
25;PB;1997;42
52;GO;1997;94
43;RS;1997;190
29;BA;1997;175
28;SE;1997;18
33;RJ;1997;646
41;PR;1997;157
24;RN;1997;27
15;PA;1997;76
51;MT;1997;88
42;SC;1997;51
14;RR;1997;10
13;AM;1997;33
11;RO;1997;33
12;AC;1997;14
27;AL;1997;62
32;ES;1997;128
26;PE;1997;243
17;TO;1997;19
53;DF;1997;48
35;SP;1997;1028
16;AP;1997;12
31;MG;1997;179
16;AP;1998;12
25;PB;1998;41
26;PE;1998;277
22;PI;1998;20
32;ES;1998;163
29;BA;1998;101
23;CE;1998;56
13;AM;1998;52
53;DF;1998;54
43;RS;1998;181
42;SC;1998;69
28;SE;1998;13
12;AC;1998;12
21;MA;1998;30
17;TO;1998;19
35;SP;1998;1034
52;GO;1998;76
31;MG;1998;201
50;MS;1998;73
15;PA;1998;67
27;AL;1998;45
14;RR;1998;12
11;RO;1998;45
24;RN;1998;20
33;RJ;1998;560
41;PR;1998;178
51;MT;1998;93
41;PR;1999;182
33;RJ;1999;543
24;RN;1999;24
11;RO;1999;38
27;AL;1999;55
14;RR;1999;15
50;MS;1999;63
31;MG;1999;222
52;GO;1999;117
32;ES;1999;128
21;MA;1999;27
35;SP;1999;1123
17;TO;1999;16
28;SE;1999;40
42;SC;1999;50
43;RS;1999;163
53;DF;1999;60
23;CE;1999;91
29;BA;1999;88
16;AP;1999;17
13;AM;1999;51
12;AC;1999;7
22;PI;1999;7
26;PE;1999;265
25;PB;1999;34
15;PA;1999;39
51;MT;1999;71
12;AC;2000;13
13;AM;2000;36
14;RR;2000;22
42;SC;2000;53
28;SE;2000;37
17;TO;2000;16
11;RO;2000;46
24;RN;2000;22
41;PR;2000;164
22;PI;2000;14
26;PE;2000;310
25;PB;2000;44
15;PA;2000;63
50;MS;2000;72
31;MG;2000;252
52;GO;2000;142
32;ES;2000;113
35;SP;2000;1150
43;RS;2000;175
29;BA;2000;132
21;MA;2000;32
51;MT;2000;81
53;DF;2000;41
23;CE;2000;106
16;AP;2000;4
33;RJ;2000;540
27;AL;2000;64
35;SP;2001;1100
51;MT;2001;92
26;PE;2001;294
22;PI;2001;35
42;SC;2001;60
13;AM;2001;55
33;RJ;2001;566
41;PR;2001;197
24;RN;2001;24
29;BA;2001;122
11;RO;2001;65
53;DF;2001;44
16;AP;2001;12
23;CE;2001;114
43;RS;2001;180
14;RR;2001;7
12;AC;2001;12
28;SE;2001;31
17;TO;2001;23
15;PA;2001;97
27;AL;2001;54
25;PB;2001;45
21;MA;2001;54
32;ES;2001;132
52;GO;2001;131
31;MG;2001;241
50;MS;2001;64
35;SP;2002;1053
21;MA;2002;39
31;MG;2002;294
50;MS;2002;77
16;AP;2002;12
29;BA;2002;123
23;CE;2002;125
51;MT;2002;92
15;PA;2002;73
25;PB;2002;46
26;PE;2002;274
53;DF;2002;50
12;AC;2002;11
13;AM;2002;35
24;RN;2002;23
22;PI;2002;27
11;RO;2002;44
52;GO;2002;145
17;TO;2002;20
14;RR;2002;12
41;PR;2002;204
33;RJ;2002;560
42;SC;2002;75
27;AL;2002;70
43;RS;2002;198
32;ES;2002;149
28;SE;2002;37
13;AM;2003;35
24;RN;2003;32
35;SP;2003;1029
42;SC;2003;70
50;MS;2003;64
31;MG;2003;376
21;MA;2003;69
52;GO;2003;143
32;ES;2003;141
27;AL;2003;67
17;TO;2003;22
28;SE;2003;34
43;RS;2003;177
14;RR;2003;6
11;RO;2003;51
53;DF;2003;62
23;CE;2003;103
29;BA;2003;152
16;AP;2003;15
12;AC;2003;15
22;PI;2003;32
41;PR;2003;227
33;RJ;2003;527
26;PE;2003;274
25;PB;2003;35
15;PA;2003;93
51;MT;2003;90
50;MS;2004;55
12;AC;2004;10
16;AP;2004;15
29;BA;2004;195
23;CE;2004;123
53;DF;2004;52
24;RN;2004;21
51;MT;2004;99
14;RR;2004;7
33;RJ;2004;506
27;AL;2004;75
22;PI;2004;26
41;PR;2004;249
26;PE;2004;276
42;SC;2004;79
25;PB;2004;60
15;PA;2004;93
13;AM;2004;49
11;RO;2004;33
17;TO;2004;18
32;ES;2004;137
52;GO;2004;142
21;MA;2004;53
28;SE;2004;29
35;SP;2004;861
43;RS;2004;195
31;MG;2004;373
24;RN;2005;41
42;SC;2005;68
43;RS;2005;209
14;RR;2005;11
33;RJ;2005;507
51;MT;2005;89
22;PI;2005;40
41;PR;2005;239
35;SP;2005;776
17;TO;2005;21
13;AM;2005;48
32;ES;2005;149
23;CE;2005;143
15;PA;2005;127
53;DF;2005;47
29;BA;2005;211
16;AP;2005;15
26;PE;2005;282
25;PB;2005;62
12;AC;2005;13
28;SE;2005;28
21;MA;2005;58
52;GO;2005;133
11;RO;2005;49
31;MG;2005;377
50;MS;2005;70
27;AL;2005;74
11;RO;2006;51
17;TO;2006;22
21;MA;2006;67
31;MG;2006;392
50;MS;2006;55
35;SP;2006;788
32;ES;2006;183
14;RR;2006;13
33;RJ;2006;504
24;RN;2006;42
28;SE;2006;40
15;PA;2006;140
41;PR;2006;249
26;PE;2006;310
25;PB;2006;62
52;GO;2006;143
43;RS;2006;162
13;AM;2006;53
16;AP;2006;13
22;PI;2006;32
27;AL;2006;106
12;AC;2006;15
53;DF;2006;49
23;CE;2006;134
29;BA;2006;243
51;MT;2006;70
42;SC;2006;92
52;GO;2007;139
15;PA;2007;144
12;AC;2007;18
42;SC;2007;70
16;AP;2007;12
21;MA;2007;63
27;AL;2007;109
